Antibiotic,Resistant,Susceptible,Total
ampicillin,2935,1812,4747
gentamicin,708,3847,4555
ciprofloxacin,1445,3051,4496
meropenem,68,4205,4273
ceftazidime,879,3384,4263
cefotaxime,1108,2955,4063
piperacillin/tazobactam,372,3250,3622
amoxicillin/clavulanic acid,1030,1839,2869
trimethoprim/sulfamethoxazole,1147,1721,2868
tigecycline,9,2362,2371
cefuroxime,422,1606,2028
amikacin,28,1872,1900
tobramycin,323,671,994
ceftriaxone,440,510,950
tetracycline,494,359,853
cefepime,176,645,821
trimethoprim,380,411,791
cefoxitin,390,376,766
chloramphenicol,220,469,689
imipenem,74,505,579
nitrofurantoin,43,451,494
ertapenem,203,285,488
cephalothin,304,139,443
aztreonam,202,218,420
cefazolin,320,93,413
