Trial_Number,Objective_Value,State
0,0.8817315398740426,COMPLETE
1,0.8470449925386248,COMPLETE
2,0.8905188987177799,COMPLETE
3,0.843538503613767,COMPLETE
4,0.8507530099263814,COMPLETE
5,0.8814693432065418,COMPLETE
6,0.8848395178458186,COMPLETE
7,0.8543945545808831,COMPLETE
8,0.8716166581042701,COMPLETE
9,0.9260384073924086,COMPLETE
10,0.8740710421874319,COMPLETE
11,0.9183570637937118,COMPLETE
12,0.9055470854303672,COMPLETE
13,0.8669887198675628,COMPLETE
14,0.836499506312609,COMPLETE
15,0.891515883442495,COMPLETE
16,0.921066050404576,COMPLETE
17,0.8922345107266587,COMPLETE
18,0.8261984397183593,COMPLETE
19,0.8854096531516938,COMPLETE
20,0.8881332033806151,COMPLETE
21,0.8796806955860963,COMPLETE
22,0.8903708496792448,COMPLETE
23,0.9033842461936878,COMPLETE
24,0.8906117064565668,COMPLETE
